,name,sex,births,year
217,Mia,F,528,2011
218,Ashton,M,170,2011
219,Alyssa,F,121,2011
220,Jack,M,547,2011
221,Charlotte,F,516,2011
222,Christian,M,169,2011
223,Willow,F,121,2011
224,Noah,M,529,2011
225,Sophie,F,508,2011
226,George,M,166,2011
227,Harper,F,117,2011
228,Thomas,M,518,2011
229,Sienna,F,489,2011
230,Finn,M,163,2011
231,Ellie,F,114,2011
232,Joshua,M,504,2011
233,Ava,F,488,2011
234,Nathan,M,160,2011
235,Anna,F,114,2011
236,Cooper,M,499,2011
237,Amelia,F,484,2011
238,Nate,M,157,2011
239,Natalie,F,114,2011
240,Benjamin,M,472,2011
241,Ella,F,471,2011
242,Angus,M,156,2011
243,Phoebe,F,109,2011
244,James,M,471,2011
245,Emily,F,469,2011
246,Toby,M,154,2011
247,Lillian,F,108,2011
248,Jacob,M,466,2011
249,Grace,F,410,2011
250,Jordan,M,150,2011
251,Claire,F,105,2011
252,Samuel,M,460,2011
253,Lily,F,410,2011
254,Bailey,M,149,2011
255,Gabriella,F,104,2011
256,Liam,M,449,2011
257,Sophia,F,368,2011
258,Leo,M,148,2011
259,Rose,F,99,2011
260,Alexander,M,406,2011
261,Zoe,F,330,2011
262,Anthony,M,146,2011
263,Mikayla,F,99,2011
264,Max,M,383,2011
265,Emma,F,268,2011
266,Hamish,M,145,2011
267,Paige,F,98,2011
268,Charlie,M,382,2011
269,Matilda,F,256,2011
270,Edward,M,143,2011
271,Piper,F,98,2011
272,Isaac,M,359,2011
273,Hannah,F,253,2011
274,Caleb,M,143,2011
275,Evelyn,F,98,2011
276,Riley,M,354,2011
277,Jessica,F,242,2011
278,Andrew,M,143,2011
279,Madeleine,F,97,2011
280,Jayden,M,344,2011
281,Eva,F,240,2011
282,Ali,M,142,2011
283,Jade,F,95,2011
284,Xavier,M,331,2011
285,Isla,F,228,2011
286,Marcus,M,141,2011
287,Mila,F,95,2011
288,Ryan,M,326,2011
289,Georgia,F,226,2011
290,Charles,M,140,2011
291,Violet,F,95,2011
292,Daniel,M,316,2011
293,Scarlett,F,226,2011
294,Cameron,M,138,2011
295,Samantha,F,94,2011
296,Tyler,M,288,2011
297,Lucy,F,226,2011
298,Callum,M,138,2011
299,Victoria,F,93,2011
300,William,M,717,2010
301,Isabella,F,603,2010
302,Jordan,M,168,2010
303,Jade,F,126,2010
304,Jack,M,606,2010
305,Ruby,F,602,2010
306,Zachary,M,168,2010
307,Ellie,F,126,2010
308,Oliver,M,552,2010
309,Chloe,F,598,2010
310,Caleb,M,167,2010
311,Sofia,F,124,2010
312,Joshua,M,549,2010
313,Olivia,F,583,2010
314,Hunter,M,166,2010
315,Addison,F,119,2010
316,Thomas,M,548,2010
317,Charlotte,F,541,2010
318,Ashton,M,164,2010
319,Molly,F,119,2010
320,Lachlan,M,543,2010
321,Mia,F,520,2010
322,Toby,M,162,2010
323,Phoebe,F,114,2010
324,Cooper,M,529,2010
325,Lily,F,501,2010
326,Aidan,M,162,2010
327,Alice,F,111,2010
328,Noah,M,528,2010
329,Emily,F,482,2010
330,Hayden,M,161,2010
331,Savannah,F,109,2010
332,Ethan,M,528,2010
333,Ella,F,478,2010
334,Mason,M,160,2010
335,Gabriella,F,106,2010
336,Lucas,M,498,2010
337,Sienna,F,470,2010
338,Hamish,M,157,2010
339,Kayla,F,106,2010
340,James,M,474,2010
341,Sophie,F,470,2010
342,Edward,M,156,2010
343,Mikayla,F,105,2010
344,Samuel,M,453,2010
345,Amelia,F,467,2010
346,Angus,M,156,2010
347,Abbey,F,103,2010
348,Jacob,M,439,2010
349,Grace,F,434,2010
350,Eli,M,156,2010
351,Eliza,F,100,2010
352,Liam,M,421,2010
353,Ava,F,425,2010
354,Sebastian,M,156,2010
355,Willow,F,100,2010
356,Alexander,M,406,2010
357,Zoe,F,323,2010
358,Christian,M,154,2010
359,Alexandra,F,99,2010
360,Benjamin,M,389,2010
361,Emma,F,300,2010
362,Patrick,M,149,2010
363,Poppy,F,96,2010
364,Max,M,380,2010
365,Sophia,F,298,2010
366,Andrew,M,148,2010
367,Samantha,F,96,2010
368,Isaac,M,377,2010
369,Matilda,F,287,2010
370,Anthony,M,148,2010
371,Stella,F,96,2010
372,Daniel,M,365,2010
373,Hannah,F,276,2010
374,Luca,M,148,2010
375,Amy,F,95,2010
376,Riley,M,364,2010
377,Jessica,F,261,2010
378,Kai,M,147,2010
379,Amelie,F,95,2010
380,Ryan,M,362,2010
381,Lucy,F,247,2010
382,Beau,M,146,2010
383,Anna,F,94,2010
384,Charlie,M,338,2010
385,Georgia,F,231,2010
386,Alex,M,142,2010
387,Piper,F,93,2010
388,Tyler,M,321,2010
389,Sarah,F,223,2010
390,George,M,141,2010
391,Gemma,F,92,2010
392,Jake,M,307,2010
393,Abigail,F,220,2010
394,Callum,M,137,2010
395,Isabel,F,92,2010
396,Matthew,M,307,2010
397,Zara,F,217,2010
398,Finn,M,137,2010
399,Victoria,F,91,2010
400,Joshua,M,961,1999
401,Emily,F,816,1999
402,Corey,M,184,1999
403,Tayla,F,130,1999
404,Jack,M,881,1999
405,Jessica,F,702,1999
406,Callum,M,183,1999
407,Amy,F,129,1999
408,Lachlan,M,877,1999
409,Sarah,F,662,1999
410,Jarrod,M,179,1999
411,Claire,F,127,1999
412,Thomas,M,816,1999
413,Chloe,F,570,1999
414,Riley,M,174,1999
415,Abbey,F,126,1999
416,James,M,781,1999
417,Olivia,F,513,1999
418,Jason,M,174,1999
419,Tara,F,124,1999
420,Matthew,M,759,1999
421,Georgia,F,507,1999
422,Oliver,M,168,1999
423,Nicole,F,123,1999
424,Daniel,M,716,1999
425,Emma,F,477,1999
426,Peter,M,166,1999
427,Taylah,F,123,1999
428,Nicholas,M,660,1999
429,Isabella,F,383,1999
430,Justin,M,160,1999
431,Ashley,F,123,1999
432,William,M,589,1999
433,Hannah,F,367,1999
434,Max,M,149,1999
435,Christin,F,122,1999
436,Benjamin,M,561,1999
437,Sophie,F,361,1999
438,Cooper,M,149,1999
439,Isabelle,F,121,1999
440,Liam,M,558,1999
441,Samantha,F,331,1999
442,Sean,M,147,1999
443,Paige,F,120,1999
444,Jacob,M,540,1999
445,Caitlin,F,300,1999
446,Brendan,M,147,1999
447,Bianca,F,119,1999
448,Christopher,M,539,1999
449,Grace,F,300,1999
450,Harry,M,144,1999
451,Victoria,F,119,1999
452,Luke,M,525,1999
453,Lauren,F,295,1999
454,Tyler,M,139,1999
455,Anna,F,118,1999
456,Samuel,M,521,1999
457,Brooke,F,274,1999
458,Jeremy,M,139,1999
459,Tahlia,F,109,1999
460,Nathan,M,475,1999
461,Rebecca,F,253,1999
462,Caleb,M,139,1999
463,Eliza,F,107,1999
464,Dylan,M,469,1999
465,Courtney,F,248,1999
466,Cody,M,138,1999
467,Kiara,F,107,1999
468,Michael,M,463,1999
469,Laura,F,248,1999
470,George,M,133,1999
471,Shania,F,107,1999
472,Jake,M,429,1999
473,Maddison,F,246,1999
474,Alex,M,128,1999
475,Zoe,F,105,1999
476,Mitchel,M,425,1999
477,Alexandra,F,242,1999
478,Mark,M,127,1999
479,Molly,F,104,1999
480,Ryan,M,419,1999
481,Gabriell,F,241,1999
482,Aidan,M,126,1999
483,Lara,F,103,1999
484,Jordan,M,414,1999
485,Jasmine,F,230,1999
486,Kevin,M,125,1999
487,Mikayla,F,103,1999
488,Alexander,M,411,1999
489,Rachel,F,221,1999
490,Robert,M,125,1999
491,Danielle,F,102,1999
492,Andrew,M,360,1999
493,Stephani,F,218,1999
494,Rhys,M,121,1999
495,Michelle,F,100,1999
496,Jayden,M,322,1999
497,Chelsea,F,217,1999
498,Trista,M,118,1999
499,Julia,F,100,1999
500,Jack,M,707,1997
501,Jessica,F,934,1997
502,Toby,M,161,1997
503,Bianca,F,149,1997
504,William,M,643,1997
505,Emily,F,785,1997
506,Aidan,M,158,1997
507,Lucy,F,146,1997
508,Joshua,M,629,1997
509,Sarah,F,687,1997
510,Alex,M,156,1997
511,Jordan,F,146,1997
512,Lachlan,M,601,1997
513,Emma,F,553,1997
514,Christopher,M,156,1997
515,Melissa,F,146,1997
516,Thomas,M,591,1997
517,Georgia,F,473,1997
518,Ashton,M,150,1997
519,Danielle,F,144,1997
520,Riley,M,506,1997
521,Chloe,F,449,1997
522,Xavier,M,147,1997
523,Rachael,F,144,1997
524,Cooper,M,502,1997
525,Samantha,F,436,1997
526,Andrew,M,145,1997
527,Amber,F,143,1997
528,James,M,455,1997
529,Hannah,F,411,1997
530,Connor,M,144,1997
531,Amelia,F,143,1997
532,Noah,M,440,1997
533,Lauren,F,384,1997
534,Sebastian,M,136,1997
535,Cassandra,F,141,1997
536,Ethan,M,436,1997
537,Rebecca,F,382,1997
538,Cody,M,132,1997
539,Jennifer,F,140,1997
540,Daniel,M,432,1997
541,Courtney,F,375,1997
542,Marcus,M,130,1997
543,Paige,F,134,1997
544,Oliver,M,427,1997
545,Caitlin,F,338,1997
546,Aiden,M,129,1997
547,Anna,F,132,1997
548,Ryan,M,423,1997
549,Isabella,F,326,1997
550,Hunter,M,128,1997
551,Victoria,F,130,1997
552,Samuel,M,419,1997
553,Amy,F,318,1997
554,Jonathan,M,125,1997
555,Ebony,F,129,1997
556,Benjamin,M,377,1997
557,Laura,F,315,1997
558,Seth,M,124,1997
559,Eliza,F,124,1997
560,Matthew,M,375,1997
561,Sophie,F,311,1997
562,John,M,122,1997
563,Claire,F,124,1997
564,Liam,M,369,1997
565,Stephanie,F,296,1997
566,Charles,M,121,1997
567,Shannon,F,123,1997
568,Lucas,M,365,1997
569,Brooke,F,296,1997
570,Caleb,M,120,1997
571,Charlotte,F,121,1997
572,Alexander,M,363,1997
573,Olivia,F,288,1997
574,Joel,M,120,1997
575,Michelle,F,121,1997
576,Jayden,M,350,1997
577,Rachel,F,286,1997
578,Kai,M,119,1997
579,Rhiannon,F,114,1997
580,Jacob,M,344,1997
581,Taylor,F,284,1997
582,Callum,M,116,1997
583,Abbey,F,113,1997
584,Luke,M,340,1997
585,Maddison,F,257,1997
586,Zac,M,116,1997
587,Bethany,F,113,1997
588,Nicholas,M,317,1997
589,Grace,F,251,1997
590,Mason,M,115,1997
591,Katie,F,111,1997
592,Harrison,M,299,1997
593,Zoe,F,250,1997
594,David,M,112,1997
595,Amanda,F,111,1997
596,Isaac,M,263,1997
597,Ashleigh,F,244,1997
598,George,M,112,1997
599,Tahlia,F,110,1997
600,Joshua,M,1215,1996
601,Jessica,F,1094,1996
602,Brendan,M,178,1996
603,Amanda,F,154,1996
604,Daniel,M,905,1996
605,Emily,F,769,1996
606,Mark,M,176,1996
607,Chelsea,F,153,1996
608,Matthew,M,903,1996
609,Sarah,F,736,1996
610,Jarrod,M,175,1996
611,Cassandra,F,152,1996
612,James,M,881,1996
613,Emma,F,591,1996
614,Ethan,M,169,1996
615,Michelle,F,149,1996
616,Jack,M,780,1996
617,Samantha,F,478,1996
618,Scott,M,168,1996
619,Erin,F,149,1996
620,Thomas,M,734,1996
621,Lauren,F,396,1996
622,Sean,M,165,1996
623,Monique,F,149,1996
624,Nicholas,M,673,1996
625,Georgia,F,386,1996
626,Cody,M,165,1996
627,Amelia,F,143,1996
628,Luke,M,635,1996
629,Chloe,F,377,1996
630,Angus,M,162,1996
631,Shannon,F,141,1996
632,Benjamin,M,634,1996
633,Rebecca,F,361,1996
634,Dean,M,162,1996
635,Taylah,F,140,1996
636,Michael,M,624,1996
637,Stephanie,F,355,1996
638,Steven,M,159,1996
639,Jennifer,F,138,1996
640,Jake,M,616,1996
641,Courtney,F,352,1996
642,Alex,M,155,1996
643,Megan,F,137,1996
644,Mitchell,M,579,1996
645,Amy,F,347,1996
646,Kevin,M,151,1996
647,Eliza,F,131,1996
648,Dylan,M,569,1996
649,Hannah,F,340,1996
650,Jonathan,M,147,1996
651,Gabrielle,F,131,1996
652,Christopher,M,544,1996
653,Laura,F,332,1996
654,Jeremy,M,147,1996
655,Jordan,F,126,1996
656,Samuel,M,521,1996
657,Maddison,F,316,1996
658,Jamie,M,142,1996
659,Victoria,F,123,1996
660,Nathan,M,516,1996
661,Caitlin,F,308,1996
662,Adrian,M,128,1996
663,Angela,F,122,1996
664,Jordan,M,512,1996
665,Sophie,F,303,1996
666,Tyler,M,128,1996
667,Claire,F,118,1996
668,Andrew,M,509,1996
669,Brooke,F,286,1996
670,Edward,M,125,1996
671,Rachael,F,113,1996
672,Liam,M,495,1996
673,Taylor,F,263,1996
674,Brodie,M,125,1996
675,Ebony,F,113,1996
676,Jacob,M,488,1996
677,Rachel,F,261,1996
678,Rhys,M,124,1996
679,Amber,F,109,1996
680,Alexander,M,485,1996
681,Isabella,F,256,1996
682,Isaac,M,122,1996
683,Katherine,F,109,1996
684,Ryan,M,472,1996
685,Olivia,F,256,1996
686,Oliver,M,121,1996
687,Tahlia,F,108,1996
688,William,M,461,1996
689,Brittany,F,252,1996
690,Sam,M,119,1996
691,Vanessa,F,107,1996
692,Lachlan,M,450,1996
693,Ashleigh,F,244,1996
694,Callum,M,115,1996
695,Tegan,F,106,1996
696,Blake,M,395,1996
697,Alexandra,F,238,1996
698,Mathew,M,113,1996
699,Ellen,F,106,1996
700,Joshua,M,1260,1995
701,Jessica,F,1278,1995
702,Jayden,M,211,1995
703,Rachael,F,154,1995
704,Daniel,M,1074,1995
705,Emily,F,801,1995
706,Jarrod,M,210,1995
707,Amelia,F,154,1995
708,Matthew,M,1042,1995
709,Sarah,F,772,1995
710,Sean,M,209,1995
711,Michelle,F,154,1995
712,James,M,936,1995
713,Rebecca,F,529,1995
714,Kyle,M,209,1995
715,Amber,F,150,1995
716,Benjamin,M,776,1995
717,Emma,F,514,1995
718,Steven,M,196,1995
719,Lucy,F,150,1995
720,Thomas,M,764,1995
721,Lauren,F,495,1995
722,Jeremy,M,191,1995
723,Anna,F,150,1995
724,Jack,M,736,1995
725,Samantha,F,472,1995
726,Dean,M,187,1995
727,Holly,F,144,1995
728,Luke,M,718,1995
729,Stephanie,F,458,1995
730,Jonathan,M,182,1995
731,Renee,F,142,1995
732,Nicholas,M,716,1995
733,Laura,F,396,1995
734,Alex,M,179,1995
735,Shannon,F,141,1995
736,Michael,M,697,1995
737,Hannah,F,350,1995
738,Cody,M,172,1995
739,Victoria,F,138,1995
740,Jake,M,678,1995
741,Courtney,F,337,1995
742,Ethan,M,171,1995
743,Paige,F,137,1995
744,Mitchell,M,675,1995
745,Georgia,F,333,1995
746,Adrian,M,158,1995
747,Chelsea,F,136,1995
748,Nathan,M,643,1995
749,Rachel,F,325,1995
750,Mathew,M,156,1995
751,Katie,F,132,1995
752,Andrew,M,605,1995
753,Alexandra,F,313,1995
754,Angus,M,153,1995
755,Angela,F,131,1995
756,Dylan,M,589,1995
757,Brittany,F,306,1995
758,George,M,143,1995
759,Brianna,F,130,1995
760,Christopher,M,580,1995
761,Ashleigh,F,302,1995
762,Paul,M,141,1995
763,Melanie,F,128,1995
764,Alexander,M,556,1995
765,Brooke,F,298,1995
766,Connor,M,136,1995
767,Kimberle,F,127,1995
768,Jordan,M,538,1995
769,Nicole,F,290,1995
770,Jamie,M,136,1995
771,Jennifer,F,126,1995
772,Jacob,M,518,1995
773,Caitlin,F,284,1995
774,Stephen,M,129,1995
775,Lisa,F,126,1995
776,Samuel,M,517,1995
777,Elizabet,F,275,1995
778,Rhys,M,126,1995
779,Rhiannon,F,123,1995
780,Blake,M,453,1995
781,Taylor,F,274,1995
782,Tyler,M,125,1995
783,Claudia,F,122,1995
784,Ryan,M,450,1995
785,Chloe,F,268,1995
786,Kevin,M,124,1995
787,Tamara,F,122,1995
788,David,M,441,1995
789,Kate,F,264,1995
790,Shane,M,116,1995
791,Tori,F,121,1995
792,William,M,440,1995
793,Maddison,F,261,1995
794,Edward,M,116,1995
795,Claire,F,120,1995
796,Adam,M,417,1995
797,Sophie,F,257,1995
798,Oliver,M,115,1995
799,Vanessa,F,118,1995
800,Joshua,M,1280,1994
801,Jessica,F,1361,1994
802,Jarrod,M,230,1994
803,Paige,F,166,1994
804,Matthew,M,1238,1994
805,Sarah,F,946,1994
806,Kyle,M,226,1994
807,Katie,F,166,1994
808,Daniel,M,1193,1994
809,Emily,F,836,1994
810,Jonathan,M,221,1994
811,Lucy,F,164,1994
812,James,M,1052,1994
813,Rebecca,F,627,1994
814,Steven,M,219,1994
815,Tamara,F,162,1994
816,Luke,M,912,1994
817,Stephanie,F,609,1994
818,Jayden,M,204,1994
819,Holly,F,160,1994
820,Jake,M,901,1994
821,Emma,F,603,1994
822,Alex,M,195,1994
823,Anna,F,156,1994
824,Benjamin,M,890,1994
825,Samantha,F,544,1994
826,Dean,M,181,1994
827,Zoe,F,155,1994
828,Nicholas,M,844,1994
829,Amy,F,459,1994
830,Adrian,M,180,1994
831,Chelsea,F,154,1994
832,Thomas,M,815,1994
833,Laura,F,452,1994
834,Jamie,M,179,1994
835,Amelia,F,153,1994
836,Jack,M,807,1994
837,Hannah,F,439,1994
838,Mathew,M,176,1994
839,Brianna,F,153,1994
840,Mitchell,M,779,1994
841,Courtney,F,413,1994
842,Ethan,M,175,1994
843,Gemma,F,151,1994
844,Christopher,M,754,1994
845,Georgia,F,396,1994
846,Rhys,M,169,1994
847,Madison,F,150,1994
848,Jordan,M,729,1994
849,Rachel,F,369,1994
850,Kevin,M,165,1994
851,Melanie,F,150,1994
852,Alexander,M,720,1994
853,Brooke,F,341,1994
854,George,M,163,1994
855,Amber,F,149,1994
856,Nathan,M,712,1994
857,Caitlin,F,331,1994
858,Shaun,M,159,1994
859,Rhiannon,F,148,1994
860,Andrew,M,665,1994
861,Alexandra,F,326,1994
862,Cody,M,158,1994
863,Lisa,F,143,1994
864,Dylan,M,642,1994
865,Ashleigh,F,321,1994
866,Stephen,M,154,1994
867,Ebony,F,143,1994
868,Samuel,M,602,1994
869,Nicole,F,314,1994
870,Paul,M,147,1994
871,Angela,F,142,1994
872,Jacob,M,565,1994
873,Brittany,F,311,1994
874,Sam,M,144,1994
875,Tara,F,141,1994
876,Ryan,M,542,1994
877,Natalie,F,297,1994
878,Oliver,M,140,1994
879,Claire,F,141,1994
880,Blake,M,493,1994
881,Kate,F,296,1994
882,Simon,M,137,1994
883,Monique,F,141,1994
884,David,M,485,1994
885,Danielle,F,277,1994
886,Aidan,M,135,1994
887,Jacqueline,F,139,1994
888,Adam,M,455,1994
889,Melissa,F,275,1994
890,Shane,M,135,1994
891,Victoria,F,139,1994
892,Aaron,M,453,1994
893,Cassandra,F,275,1994
894,Kieran,M,134,1994
895,Ellen,F,137,1994
896,William,M,437,1994
897,Olivia,F,271,1994
898,Beau,M,132,1994
899,Tegan,F,136,1994
900,Joshua,M,1227,1993
901,Jessica,F,1375,1993
902,Corey,M,216,1993
903,Zoe,F,160,1993
904,Daniel,M,1132,1993
905,Sarah,F,875,1993
906,Mathew,M,214,1993
907,Maddison,F,158,1993
908,Matthew,M,1120,1993
909,Emily,F,817,1993
910,Jeremy,M,212,1993
911,Tara,F,152,1993
912,James,M,1057,1993
913,Rebecca,F,667,1993
914,Dean,M,192,1993
915,Paige,F,152,1993
916,Michael,M,923,1993
917,Emma,F,617,1993
918,Jonathan,M,181,1993
919,Madeleine,F,150,1993
920,Luke,M,905,1993
921,Samantha,F,602,1993
922,Ethan,M,172,1993
923,Amber,F,147,1993
924,Christopher,M,807,1993
925,Stephanie,F,574,1993
926,Kevin,M,169,1993
927,Lisa,F,147,1993
928,Nicholas,M,785,1993
929,Lauren,F,482,1993
930,Shaun,M,159,1993
931,Jacqueline,F,142,1993
932,Thomas,M,744,1993
933,Laura,F,445,1993
934,Jarrod,M,158,1993
935,Katherine,F,140,1993
936,Mitchell,M,727,1993
937,Hannah,F,392,1993
938,Paul,M,157,1993
939,Tayla,F,138,1993
940,Jake,M,703,1993
941,Rachel,F,389,1993
942,Jamie,M,157,1993
943,Angela,F,136,1993
944,Andrew,M,703,1993
945,Ashleigh,F,354,1993
946,Adrian,M,153,1993
947,Tegan,F,136,1993
948,Alexander,M,686,1993
949,Brittany,F,329,1993
950,Rhys,M,148,1993
951,Monique,F,129,1993
952,Nathan,M,630,1993
953,Nicole,F,328,1993
954,Stephen,M,146,1993
955,Amelia,F,129,1993
956,Samuel,M,621,1993
957,Georgia,F,327,1993
958,Sam,M,142,1993
959,Victoria,F,128,1993
960,Jack,M,619,1993
961,Melissa,F,326,1993
962,Shane,M,136,1993
963,Kimberley,F,123,1993
964,Dylan,M,613,1993
965,Natalie,F,324,1993
966,Simon,M,136,1993
967,Ellen,F,123,1993
968,Jacob,M,533,1993
969,Alexandra,F,322,1993
970,Cody,M,130,1993
971,Alana,F,121,1993
972,Jordan,M,524,1993
973,Elizabeth,F,297,1993
974,George,M,129,1993
975,Rebekah,F,120,1993
976,David,M,491,1993
977,Courtney,F,292,1993
978,Oliver,M,129,1993
979,Jordan,F,119,1993
980,Blake,M,487,1993
981,Caitlin,F,290,1993
982,Harley,M,126,1993
983,Claire,F,119,1993
984,Ryan,M,482,1993
985,Brooke,F,285,1993
986,Bryce,M,118,1993
987,Holly,F,119,1993
988,Timothy,M,453,1993
989,Kate,F,274,1993
990,Harrison,M,117,1993
991,Madison,F,119,1993
992,William,M,453,1993
993,Chloe,F,264,1993
994,Ben,M,115,1993
995,Tori,F,118,1993
996,Aaron,M,449,1993
997,Cassandra,F,259,1993
998,Angus,M,113,1993
999,Madeline,F,116,1993
1000,Joshua,M,1277,1992
1001,Jessica,F,1639,1992
1002,Dean,M,206,1992
1003,Madeleine,F,149,1992
1004,Matthew,M,1275,1992
1005,Sarah,F,915,1992
1006,Alex,M,201,1992
1007,Amber,F,143,1992
1008,Daniel,M,1268,1992
1009,Samantha,F,740,1992
1010,Paul,M,200,1992
1011,Bianca,F,142,1992
1012,James,M,1211,1992
1013,Rebecca,F,727,1992
1014,Zachary,M,193,1992
1015,Vanessa,F,141,1992
